The data of the Swiss Glacier Monitoring Network (GLAMOS) are freely available (https://www.glamos.ch) and may be used with indication of the source for scientific and non-commercial use.
When using these data, please cite as:
GLAMOS (2021). Swiss Glacier Volume Change, release 2021, Glacier Monitoring Switzerland, doi:10.18750/volumechange.2021.r2021.

SWISS GLACIER VOLUME CHANGE (GEODETIC MASS BALANCE)

glacier name;glacier id;start date of observation;quality of start date;end date of observation;quality of start date;glacier area at start date;glacier area at end date;volume change;mean thickness change;annual geodetic mass balance;observer
;(according to Swiss Glacier Inventory);date_start;x = date not exactly known;date_end;x = date not exactly known;area_start;area_end;dV;dh_mean;Bgeod;
;;yyyy-mm-dd (ISO 8601);;yyyy-mm-dd (ISO 8601);;km2;km2;km3;m;m w.e. a-1;
Silvrettagletscher;A10g-05;1938-09-01;x;1959-08-31;;3.557312;3.227714;-0.028666;-8.00;-0.34;-
Silvrettagletscher;A10g-05;1959-08-31;;1973-09-12;;3.227714;3.146731;-0.004822;-1.48;-0.09;-
Silvrettagletscher;A10g-05;1973-09-12;;1986-09-29;;3.146731;3.138600;0.009488;2.97;0.20;-
Silvrettagletscher;A10g-05;1986-09-29;;1994-08-23;;3.138600;3.010276;-0.020021;-6.33;-0.69;-
Silvrettagletscher;A10g-05;1994-08-23;;2003-08-13;;3.010276;2.893383;-0.013992;-4.61;-0.45;-
Silvrettagletscher;A10g-05;2003-08-13;;2007-09-24;;2.893383;2.785619;-0.014422;-4.98;-1.08;-
Silvrettagletscher;A10g-05;2007-09-24;;2012-08-20;;2.785619;2.710085;-0.016457;-5.88;-1.02;-
Silvrettagletscher;A10g-05;2012-08-20;;2019-09-29;;2.710085;2.489546;-0.028726;-10.49;-1.34;-
Verstanclagletscher;A10g-08;1938-09-01;x;1959-08-31;;1.567969;1.224449;-0.011099;-6.98;-0.32;-
Verstanclagletscher;A10g-08;1959-08-31;;1973-09-12;;1.224449;1.198755;0.000915;0.73;0.05;-
Verstanclagletscher;A10g-08;1973-09-12;;2003-08-13;;1.198755;1.077623;-0.009684;-7.92;-0.24;-
Verstanclagletscher;A10g-08;2003-08-13;;2007-09-24;;1.077623;0.937706;-0.005928;-5.48;-1.25;-
Pizolgletscher;A50d-01;1968-10-18;;1973-08-10;;0.243055;0.175617;-0.000425;-1.73;-0.35;-
Pizolgletscher;A50d-01;1973-08-10;;1979-09-19;;0.175617;0.189901;0.000070;0.37;0.05;-
Pizolgletscher;A50d-01;1979-09-19;;1985-09-12;;0.189901;0.211898;0.000376;1.75;0.27;-
Pizolgletscher;A50d-01;1985-09-12;;1990-08-03;;0.211898;0.192056;-0.000346;-1.60;-0.29;-
Pizolgletscher;A50d-01;1990-08-03;;1997-09-15;;0.192056;0.127691;-0.000854;-4.44;-0.65;-
Pizolgletscher;A50d-01;1997-09-15;;2006-09-05;;0.127691;0.077423;-0.000823;-6.52;-0.76;-
Pizolgletscher;A50d-01;2006-09-05;;2014-07-18;;0.077423;0.070685;-0.000647;-7.84;-0.93;-
Limmerngletscher;A50i-06;1947-08-29;;1959-09-11;;2.707672;2.489820;-0.015166;-5.46;-0.41;-
Limmerngletscher;A50i-06;1959-09-11;;1977-09-15;;2.489820;2.479338;0.004426;1.69;0.08;-
Limmerngletscher;A50i-06;1977-09-15;;1986-09-29;;2.479338;2.384989;0.001431;0.57;0.06;-
Limmerngletscher;A50i-06;1986-09-29;;2000-08-24;;2.384989;2.237161;-0.019541;-8.15;-0.51;-
Plattalva;A50i-07;1947-08-29;;1959-09-11;;0.751854;0.636561;-0.005421;-6.92;-0.55;-
Plattalva;A50i-07;1959-09-11;;1977-09-15;;0.636561;0.868021;0.000774;0.88;0.05;-
Plattalva;A50i-07;1977-09-15;;1986-09-29;;0.868021;0.777551;-0.000420;-0.47;-0.05;-
Plattalva;A50i-07;1986-09-29;;2000-08-24;;0.777551;0.578078;-0.006168;-7.89;-0.55;-
Claridenfirn;A50i-19;1936-09-01;x;1956-09-24;;6.164314;5.808581;-0.004117;-0.65;-0.03;-
Claridenfirn;A50i-19;1956-09-24;;1979-09-17;;5.808581;6.011887;0.022843;3.75;0.14;-
Claridenfirn;A50i-19;1979-09-17;;1985-09-11;;6.011887;6.085394;0.000438;0.07;0.01;-
Claridenfirn;A50i-19;1985-09-11;;1990-09-28;;6.085394;5.640088;-0.030367;-4.99;-0.88;-
Claridenfirn;A50i-19;1990-09-28;;2003-08-08;;5.640088;5.126664;-0.029011;-5.11;-0.35;-
Claridenfirn;A50i-19;2003-08-08;;2010-09-20;;5.126664;4.927794;-0.041804;-7.76;-1.01;-
Dammagletscher;A51f-10;1939-09-01;x;1991-09-10;;6.060610;5.232490;-0.088659;-14.57;-0.26;-
Dammagletscher;A51f-10;1991-09-10;;2007-09-12;;5.232490;4.589567;-0.047487;-9.02;-0.51;-
Steigletscher;A54e-12;1928-09-01;x;1980-09-16;;10.682903;9.489738;-0.144103;-13.35;-0.23;-
Steigletscher;A54e-12;1980-09-16;;2013-08-22;;9.489738;7.599177;-0.175618;-18.42;-0.53;-
Triftgletscher;A54e-24;1861-09-01;x;1929-09-01;x;20.842501;18.683119;0.000000;0.00;0.00;-
Triftgletscher;A54e-24;1929-09-01;x;1959-08-26;;18.683119;10.934764;-0.256884;-13.71;-0.49;-
Triftgletscher;A54e-24;1959-08-26;;1980-09-16;;10.934764;16.881455;0.094996;5.50;0.28;-
Triftgletscher;A54e-24;1980-09-16;;1990-08-20;;16.881455;16.342567;-0.099497;-5.84;-0.51;-
Triftgletscher;A54e-24;1990-08-20;;1995-10-13;;16.342567;16.231865;-0.076299;-4.61;-0.80;-
Triftgletscher;A54e-24;1995-10-13;;2000-08-24;;16.231865;15.735522;-0.057801;-3.52;-0.61;-
Triftgletscher;A54e-24;2000-08-24;;2003-09-04;;15.735522;15.334843;-0.050473;-3.18;-0.92;-
Triftgletscher;A54e-24;2003-09-04;;2008-09-09;;15.334843;14.657393;-0.073421;-4.76;-0.83;-
Triftgletscher;A54e-24;2008-09-09;;2013-08-22;;14.657393;14.622279;-0.103612;-6.89;-1.20;-
Oberaargletscher;A54g-03;1927-09-01;x;1947-07-14;;8.860495;7.498497;-0.130651;-14.56;-0.68;-
Oberaargletscher;A54g-03;1947-07-14;;1961-09-11;;7.498497;7.131401;-0.061062;-7.70;-0.51;-
Oberaargletscher;A54g-03;1961-09-11;;1993-09-01;x;7.131401;6.169895;-0.061044;-8.36;-0.24;-
Oberaargletscher;A54g-03;1961-09-11;;2009-08-19;;7.131401;5.035163;-0.166339;-23.23;-0.48;-
Oberaargletscher;A54g-03;1993-09-01;x;2009-08-19;;6.169895;5.035163;-0.166339;-23.23;-1.58;-
Unteraargletscher;A54g-11;1927-09-01;x;1947-07-14;;27.472922;27.405125;-0.409315;-15.25;-0.63;-
Unteraargletscher;A54g-11;1947-07-14;;1961-09-11;;27.405125;25.485659;-0.259293;-9.79;-0.60;-
