"","year","length_change","cum_length_change","emission_Total","emission_CO2","emission_CH4","emission_N2O","emission_HFC, PFC, SF6, NF3","temp_January","temp_February","temp_March","temp_April","temp_May","temp_June","temp_July","temp_August","temp_September","temp_October","temp_November","temp_December","temp_year"
"1",1990,-11.3202555777556,-11.3202555777556,54029339.6241957,44552264.5851122,234468.771672028,11281.306390438,253526.44293229,-1.50734149054505,2.93115763546798,3.91434927697442,4.07459770114943,11.2173526140156,12.083908045977,15.3921023359288,15.5678531701891,10.7183908045977,8.83604004449388,1.35850574712644,-3.22558398220245,6.78011099193107
"2",1991,-13.3645604395604,-24.5828317328317,55920724.3394664,46511525.5133598,231994.656749589,11309.1691417935,239200.003112376,-1.78298109010011,-3.6064039408867,4.43225806451613,3.97793103448276,6.50367074527253,11.7111494252874,16.586318131257,16.5901001112347,13.4959770114943,6.0448275862069,1.53034482758621,-2.4392658509455,6.08699383795046
"3",1992,-18.2709049284049,-42.9135805860806,55661195.6433285,46367196.773478,229333.327723502,11151.4606353499,237530.407428689,-2.54949944382647,-0.769322235434007,2.6035595105673,5.10919540229885,11.4222469410456,12.2108045977011,15.6738598442714,17.3454949944383,11.5420689655172,5.19488320355951,3.96,-0.961957730812013,6.7317778374439
"4",1993,-10.7720359915314,-52.9233558490439,53081571.0534967,43931449.1083447,225194.726359997,11182.914821825,187745.169248194,0.310901001112347,-2.17290640394089,1.1741935483871,6.52448275862069,11.0212458286986,13.5297701149425,13.8400444938821,15.135595105673,10.2431034482759,5.88776418242492,-0.0248275862068966,0.322691879866518,6.31600486431132
"5",1994,-10.1905130363464,-63.4927888469555,52062130.4254672,42981978.4550681,222870.040370759,11075.5611306328,207883.744201588,-0.614460511679644,-0.838793103448276,5.66651835372636,4.01091954022989,10.1788654060067,13.5813793103448,17.7864293659622,16.2757508342603,11.0814942528736,7.13537263626251,5.4832183908046,0.658843159065629,7.53379480286738
"6",1995,-9.92230315980316,-73.1558327474994,52971480.1576783,43701310.2570368,223240.017603053,11190.436311375,354419.439775419,-2.96952169076752,1.57130541871921,0.209454949944383,5.73252873563218,9.57786429365962,11.426091954023,17.4186874304783,14.4032258064516,9.02344827586207,10.0474972191324,1.75367816091954,-1.44416017797553,6.3958416980066
"7",1996,-13.2373340240007,-86.3931667715001,53649623.7984815,44368941.8628848,221238.210988333,11219.4344320811,406335.200128279,-0.752502780867631,-3.18252080856124,0.193325917686318,6.13758620689655,9.39232480533927,13.9619540229885,14.1170189098999,13.7449388209121,8.37379310344828,6.86763070077864,2.00827586206897,-1.62892102335929,5.7694086447692
"8",1997,-12.4822414314081,-98.8754082029082,52471952.8788511,43290315.6188507,215375.865729169,11044.4501188319,505994.4813593,-1.97675194660734,1.05283251231527,4.28120133481646,4.63172413793103,10.155617352614,12.4819540229885,13.6325917686318,16.1369299221357,12.9833333333333,6.98420467185762,2.49793103448276,-0.220467185761958,6.8867584132281
"9",1998,-17.8553307147398,-114.273913313959,54016757.0328932,44849037.8485611,212846.224948832,10785.1569998679,632586.774650686,-1.13147942157953,1.33916256157635,2.32269187986652,4.91413793103448,10.9145717463849,13.8859770114943,15.6284760845384,15.6301446051168,10.7594252873563,6.83926585094549,-0.76816091954023,-1.5769744160178,6.56310318343133
"10",1999,-11.7177451527452,-126.411713301713,53849260.5782851,44661678.4397247,209506.812813709,10886.4863490014,705738.886215235,-0.880422691879867,-3.17093596059113,2.54393770856507,5.19988505747126,11.8179087875417,12.2212643678161,15.7458286985539,15.1314794215795,13.4898850574713,7.54505005561735,0.0936781609195402,-1.37563959955506,6.53015992195914
